위반문장 원문,대안제시,부당특약 사유
"5.1 공급자(납품자)는 납품설치시부터 정상동작 확인을 완료하여 인계할 때까지 발생 되는 모든 안전관리
사고(화재, 감전사고 등)에 대한 책임을 져야 한다.
5.2 공급자(납품자)은 하자보증기간동안 하자보수 지연으로 발생되는 안전사고에 대한 책임을 져야 한다.","5.1 공급자(납품자)는 납품설치시부터 정상동작 확인을 완료하여 인계할 때까지 ""수급사업자""의 귀책으로 발생 되는 모든 안전관리
사고(화재, 감전사고 등)에 대한 책임을 져야 한다.
5.2 공급자(납품자)은 하자보증기간동안 하자보수요청에 따른 즉시 수행을 원칙으로 하며, 지연 수행 등의 ""수급사업자""의 귀책으로 인한 발생되는 안전사고에 대한 책임을 져야 한다.","원사업자는 수급사업자의 이익을 부당하게 침해하거나 제한하는 계약조건(이하 ""부당한 특약""이라 한다)을 설정하여서는 아니 된다"
"6.2.11 공사 수행 전반에 걸쳐 관계 관청 인허가 업무 수행을 해야하며, 이에 필요한 비용은 “관리비 및 이윤”에 포함하여 투찰한다.","6.2.11 공사 수행 전반에 걸쳐 관계 관청 인허가 업무에 성실히 협조해야하며, 이에 필요한 비용은 “관리비 및 이윤”에 포함하여 투찰한다.","관련 법령에 따라 원사업자의 의무사항으로 되어 있는 인•허가, 환경관리 또는 품질관리 등과 관련하여 발생하는 비용을 수급사업자에게 부담시키는 약정"
"5. 일반사항 중 수정내용
5.12.6 지하 이중벽 공사
1)지하 이중차수벽은 경량철골위 CRC보드(9T이상) 피스고정으로 시공하며, 최상부는 PVC몰딩 마감후 천정과 30mm이격하며 최하부는 AL타공그릴(H=100mm)로 마감하도록 한다. 피스부위는 퍼티 및 샌딩처리하여 도장마감이 가능하도록 마감한다. CRC보드에 대한 공인기관의 시험비용을 포함하여 견적한다. 비계 및 가시설 비용을 포함하여 견적한다.","5. 일반사항 중 수정내용
5.12.6 지하 이중벽 공사
1)지하 이중차수벽은 경량철골위 CRC보드(9T이상) 피스고정으로 시공하며, 최상부는 PVC몰딩 마감후 천정과 30mm이격하며 최하부는 AL타공그릴(H=100mm)로 마감하도록 한다. 피스부위는 퍼티 및 샌딩처리하여 도장마감이 가능하도록 마감한다. CRC보드에 대한 공인기관의 시험비용과 비계 등의 가시설 비용을 '지하 이중벽 공사' 해당내용에 포함하여 견적한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.1.9 “수급사업자”의 공정이 계획보다 현저히 늦어질 때, “원사업자”의 시정 지시가 제대로 이루어 지지 않을 
때, “수급사업자”의 현장 정리 및 안전관리가 불량할 때 등의 사유 발생 시 “원사업자”의 판단에 의거 계약 
범위의 전부 또는 일부를 변경, 조정할 수 있다.",3.9.6 정산방법 내용과 중복 삭제 요망,부당특약은 아니나 동어 반복으로 인한 수정 요청
"5. 일반사항 중 수정내용
5.12.6 지하 이중벽 공사
1)지하 이중차수벽은 경량철골위 CRC보드(9T이상) 피스고정으로 시공하며, 최상부는 PVC몰딩 마감후 천정과 30mm이격하며 최하부는 AL타공그릴(H=100mm)로 마감하도록 한다. 피스부위는 퍼티 및 샌딩처리하여 도장마감이 가능하도록 마감한다. CRC보드에 대한 공인기관의 시험비용을 포함하여 견적한다. 비계 및 가시설 비용을 포함하여 견적한다.","5. 일반사항 중 수정내용
5.12.6 지하 이중벽 공사
1)지하 이중차수벽은 경량철골위 CRC보드(9T이상) 피스고정으로 시공하며, 최상부는 PVC몰딩 마감후 천정과 30mm이격하며 최하부는 AL타공그릴(H=100mm)로 마감하도록 한다. 피스부위는 퍼티 및 샌딩처리하여 도장마감이 가능하도록 마감한다. CRC보드에 대한 공인기관의 시험비용과 비계 등의 가시설 비용을 '지하 이중벽 공사' 해당내용에 포함하여 견적한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.1.9 “수급사업자”의 공정이 계획보다 현저히 늦어질 때, “원사업자”의 시정 지시가 제대로 이루어 지지 않을 
때, “수급사업자”의 현장 정리 및 안전관리가 불량할 때 등의 사유 발생 시 “원사업자”의 판단에 의거 계약 
범위의 전부 또는 일부를 변경, 조정할 수 있다.",3.9.6 정산방법 내용과 중복 삭제 요망,부당특약은 아니나 동어 반복으로 인한 수정 요청
"6.1.14 자재운반 및 본공사 작업 관련한 장비 사용은 “수급사업자”의 부담이며 자재운반, 인양조립 및 본 공사에 관련한 모든 비용을 “수급사업자”의 부담으로 시행하고 장비사용계획서를 필히 “원사업자”에게 제출하여야 한다","6.1.14 자재운반 및 본공사 작업 관련한 장비 사용은 “수급사업자”의 부담이므로 자재운반, 인양조립 및 본 공사에 사용할 장비비를 각 공사 내역에 포함하여 투찰토록 하며, 장비사용계획서를 필히 “원사업자”에게 제출하여야 한다",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.1.17  “수급사업자”은 공사용 Shop Drawing 및 준공도면 작성비용은 단가에 포함시켜 입찰하고, 도면과 전자파일은 “원사업자”에게 제출한다.","6.1.17  “수급사업자”은 공사용 Shop Drawing 및 준공도면 작성비용은 ( 내역명 명기)단가에 포함시켜 입찰하고, 도면과 전자파일은 “원사업자”에게 제출한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.1.20 자재 운반시에 발생하는 문제(교통문제, 통제문제, 민원문제)는 “수급사업자”의 책임하에 실시하고, 운반시는 흔들림이나 충격 등으로 인하여 부재 손상이 없도록 PACKING 하여야 하며 견적시 데크플레이트 제작 단가에 포함하여야 한다","6.1.20 자재 운반에 대해서는 “수급사업자”의 책임하에 진행되어야 하며, 운반시 흔들림이나 충격 등으로 인하여 부재 손상이 없도록 PACKING 하여야 하며 견적시 데크플레이트 제작 단가에 포함하여야 한다",위탁 시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정
"3. 공종(데크플레이트 공사) 특기사항
1) 지하층 끊어치기 구간에는 근로자의 불안전한행동 유발을 예방하기 위한 가설계단을 충분히 설치하여야 한다.","3. 공종(데크플레이트 공사) 특기사항
1) 지하층 끊어치기 구간에는 근로자의 불안전한행동 유발을 예방하기 위한 가설계단(어떤것이 가설계단 인가요?)을 충분히(몇개소?) 설치하여야 한다.",위탁 시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정
"1.0.1 현장별 계약내역 확정 전 “갑”은 “을”에게 해당 현장의 Guide 풍압 및 관련 도면을 제공하고, “을”은 이에
 대한 창호 내풍압 안정성 검토서 및 예가 내역서를 제출하여 “갑”의 사전 승인을 득한다.","1.0.1 현장별 계약내역 확정 전 “갑”은 “을”에게 해당 현장의 Guide 풍압 및 관련 도면을 제공하고, “을”은 이에
 대한 창호 내풍압 안정성 검토서 및 예가 내역서를 제출하여 “갑”의 사전 승인을 득한다.","부당특약은 아니나, 해석에 대한 부분을 명확히 하고자 함"
"모델하우스 사양 및 승인도면을 만족하도록 제작하여 시공한다.""",CE 의견 반영 필요,
1.0.7 자재 운반 및 이동시 장비사용에 대한 비용은 견적시 반영한다. (리프트카 이외 윈치 등 장비지원 없음),1.0.7. 자재 운반 및 이동시 장비사용에 대한 비용은 견적시 해당 공사 내역에 반영한다. (리프트카 이외 윈치 등 장비지원 없음),원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"PL 창호 특기 시방서
1.11  품질미비에 따른 향후 입주자의 교체 요구나 이의 제기시 “을”이 전적으로 책임을 진다.","PL 창호 특기 시방서 
1.11 ""수급사업자""의 귀책사유로 인한 품질미비로 향후 입주자의 교체 요구나 이의 제기시 “을”이 전적으로 책임을 진다.","원사업자는 수급사업자의 이익을 부당하게 침해하거나 제한하는 계약조건(이하 ""부당한 특약""이라 한다)을 설정하여서는 아니 된다"
"2.1.5 양중장비 사용시 안전작업계획서를 사전에 제출하고 “갑”의 승인 후에 작업을 실시하며, 
양중장비는 “을”의 비용으로 한다.","2.1.5 양중장비는 ""원사업자""의 지원이 없으므로 현장 여건을 충분히 파악한 후 해당공사 내역에 포함하여 투찰하여야 한다.
 ""수급사업자""의 필요로 양중 장비 사용시 안전작업계획서를 사전에 제출하고 “갑”의 승인 후에 작업을 실시한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"2.1.6 “을”의 공사용 주자재(부자재 포함)의 공급과 하차, 소운반에 소요되는 장비비 등 비용은 
“을”의 비용으로 한다.","2.1.6 본 계약의 각 내역 단가에 “수급사업자”가 공급하는 자재의 하차, 현장내 운반 등을 위한 장비비용을 포함하여 견적한다.","원사업자는 수급사업자의 이익을 부당하게 침해하거나 제한하는 계약조건(이하 ""부당한 특약""이라 한다)을 설정하여서는 아니 된다"
2.2.1 모든 공사는 쌍방히 합의하여 인감을 날인한 계약서 계약조건에 따른다.,삭제,불필요 문구 삭제
2.3.2 “갑”과 협의 없이 작업 중 발생한 민원사항에 대해서는 “을”의 책임으로 해결한다.,삭제,불필요 문구 삭제
"기성 노무비에 대하여는 설치 시 70%, 해체 시 30% 지급한다.",삭제,"설치공사를 한 수량과 기성이 나가는 수량의 불일치로 인하여, 법위반 소지가 있음"
2.11 문주 철골공사와 관련한 가설비용은 포함하여 견적한다,2.11 문주 철골공사와 관련한 가설비용은 (내역명 명기)에 포함하여 견적한다,원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.1 계약도서(시방서, 도면, 사양서)와 관련법규가 상이할 시는 당사와 협의하여 시행하되, 계약도서의 상호간 모호한 사항(규격, 사양 등)에 대한 해석우선순위는 다음과 같다.
“입찰유의서(현장설명서)>계약서(시공구입사양서)>설계도서>산출내역서",삭제,"부당특약은 아니지만, 공사개별약관 제 22조 내용과 중첩으로 인한 삭제 요망"
"근로기준법 관련하여 근로시간단축(주52시간)에 따른 추가 인원 및 장비의 투입관련 비용은 견적에 반영하며, 이로 인한 금액증감은 없으므로 이를 충분히 반영하여 투찰한다",삭제,"부당특약으로 판단되지는 않으나, 근로기준법 등 여타 법에서 규정하고 있는 바이므로 삭제를 권고함"
"근로기준법 관련하여 근로시간단축(주52시간)에 따른 추가 인원 및 장비의 투입관련 비용은 견적에 반영하며, 이로 인한 금액 증감은 없으므로 이를 충분히 반영하여 투찰한다.",삭제,"부당특약으로 판단되지는 않으나, 근로기준법 등 여타 법에서 규정하고 있는 바이므로 삭제를 권고함"
"6.1 공사와 관련된 인허가 등 대관업무는 “수급사업자”의 범위이며, 이로 인해 발생하는 비용은 내역서의
    기술검토 및 인허가비로 투찰한다.","6.1 “수급사업자”는 공사와 관련된 인허가 등 대관업무에 최대한 협조해야하며, 이로 인해 발생하는 비용은 내역서의
    기술검토 및 인허가비로 투찰한다.","관련 법령에 따라 원사업자의 의무사항으로 되어 있는 인•허가, 환경관리 또는 품질관리 등과 관련하여 발생하는 비용을 수급사업자에게 부담시키는 약정"
"6.0.1 본 사업의 전체 수행범위에 포함되는 공동주택 사업부지 경계 외에 존재하는 사업부지 외곽 도로, 부지 내/외부 공원, 녹지, 교량, 하천정비 조성 및 종교시설 신축공사(이하 “기반시설 등”)는 “수급사업자”의 수행범위에 포함되지 않으나, 전체 사업의 원활한 진행을 위해 각 공사관계자간 협의에 적극 참여하고 관련 이행사항을 성실히 수행하여야 한다.","6.0.1 본 사업의 전체 수행범위에 포함되는 공동주택 사업부지 경계 외에 존재하는 사업부지 외곽 도로, 부지 내/외부 공원, 녹지, 교량, 하천정비 조성 및 종교시설 신축공사(이하 “기반시설 등”)는 “수급사업자”의 수행범위에 포함되지 않으나, 전체 사업의 원활한 진행을 위해 협의 및 관련 이행사항에 성실히 협조한다.","원사업자는 수급사업자의 이익을 부당하게 침해하거나 제한하는 계약조건(이하 ""부당한 특약""이라 한다)을 설정하여서는 아니 된다"
"6.0.6 시험성적서가 있다하더라도 감리 및 원사업자 공사담당자 확인 후 품질에 하자가 있을 시 반입 또는 회차할 수 있으며, 지정된 토취장 이외의 흙이 반입되다 적발시 혹은 “수급사업자”의 귀책사유로 인하여 발생시 “수급사업자의” 비용으로 회수 및 반출하여야 한다","6.0.6 (5.4.3 시공확인 및 검사) 절차에 의거하여 품질에 하자가 있을 시 반입 또는 회차할 수 있으며, 지정된 토취장 이외의 흙이 반입되다 적발시 혹은 “수급사업자”의 귀책사유로 인하여 발생시 “수급사업자의” 비용으로 회수 및 반출하여야 한다","원사업자는 수급사업자의 이익을 부당하게 침해하거나 제한하는 계약조건(이하 ""부당한 특약""이라 한다)을 설정하여서는 아니 된다
* 현장 검사 즉, 당사에서 사전에 고지하는 검사 절차를 넘어서 현장에서 결함을 발견하여 반품을 시킨다면 하도급법 상 '부당한 반품'에 해당 할수 있습니다."
